FESESION;HORA;VERPREV;ENERGIA;FEULTMOD;CDUSUARIO
2021-01-07 00:00:00;6;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;7;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;8;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;9;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;10;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;11;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;12;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;13;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;14;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;15;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;16;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;17;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;18;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;19;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;20;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;21;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;22;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;23;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;24;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-08 00:00:00;1;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;2;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;3;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;4;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;5;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;6;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;7;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;8;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;9;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;10;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;11;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;12;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;13;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;14;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;15;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;16;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;17;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;18;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;19;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;20;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;21;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;22;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;23;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-08 00:00:00;24;2;0.0;2021-01-07 00:51:35.787;SOLABEN
2021-01-09 00:00:00;1;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;2;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;3;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;4;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;5;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;6;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;7;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;8;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;9;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;10;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;11;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;12;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;13;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;14;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;15;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;16;2;0.0;2021-01-08 00:43:17.740;SOLABEN
